country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,expected_period,status,reason,detail_url,published_date,scraped_at
DK,Denmark,LMST,"Ziprasidon ""Krka"" 80 mg kapsler, hårde",,,,,,,,Start marts - slut marts 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-krka-80-mg-forsyningsvanskelighed/,2026-03-10T13:35:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ziprasidon ""Stada"" 80 mg kapsler, hårde",,,,,,,,Start marts - slut juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-stada-80-mg-forsyningsvanskelighed/,2026-03-10T13:29:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Pneumovax injektionsvæske, opløsning i fyldt injektionssprøjte",,,,,,,,Midt marts - midt juni 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/pneumovax-forsyningsvanskelighed/,2026-03-09T10:46:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Deprakine Retard 500 mg depottabletter,,,,,,,,Slut februar - start april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/deprakine-retard-500-mg-forsyningsvanskelighed/,2026-03-09T08:53:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Imdur 60 mg depottabletter ,,,,,,,,Start februar - start juli 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/imdur-60-mg-forsyningsvanskelighed/,2026-03-06T15:12:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Fem-Mono Retard 60 mg depottabletter ,,,,,,,,Start september 2025 - start juni 2026,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/fem-mono-retard-60-mg-forsyningsvanskelighed/,2026-03-06T14:32:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Prevymis 240 mg koncentrat til infusionsvæske, opløsning",,,,,,,,Start marts - start juni 2026,shortage,Øget salg/efterspørgsel,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/prevymis-240-mg-koncentrat-til-infusionsvaeske,-oploesning-forsyningsvanskelighed/",2026-03-06T14:24:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Alkindi 0,5 mg granulat i enkeltdosisbeholder",,,,,,,,Start marts - slut marts 2026 ,shortage,Øget salg/efterspørgsel,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/alkindi-0,5-mg-forsyningsvanskelighed/",2026-03-06T12:59:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Sotalol ""Viatris"" 40 mg tabletter",,,,C07AA07,,,,Midt august 2024 - start juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2024/sotalol-viatris-40-mg-forsyningsvanskelighed/,2026-03-13T13:54:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ketaminol Vet. 100 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-100-mgml-forsyningsvanskelighed/,2026-03-13T13:13:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ketaminol Vet. 50 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Kommercielle årsager,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-50-mgml-forsyningsvanskelighed/,2026-03-13T13:11:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Aquavac Relera Vet. koncentrat til badevand, suspension og injektionsvæske, suspension",,,,,,,,Slut september 2025 - slut april 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2025/aquavac-relera-vet-forsyningsvanskelighed/,2026-03-13T12:43:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Rimactan 300 mg kapsler, hårde (2care4 ApS)",,,,,,,,Midt februar 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/rimactan-300-mg-2care4-aps-forsyningsvanskelighed/,2026-03-12T14:06:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Rimactan 300 mg kapsler, hårde (Sandoz A/S)",,,,,,,,Midt februar - slut oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/rimactan-300-mg-sandoz-as-forsyningsvanskelighed/,2026-03-12T14:04:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Diazedor Vet. 5 mg/ml injektionsvæske, opløsning",,,,,,,,Start april - slut juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/diazedor-vet-forsyningsvanskelighed/,2026-03-12T11:53:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Pentasa Sachet 2 g depotgranulat, enkeltdosisbeholder",,,,,,,,Start marts - midt maj 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/pentasa-sachet-2-g-depotgranulat-forsyningsvanskelighed/,2026-03-12T10:36:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Contalgin Uno 30 mg depotkapsler,,,,,,,,Slut marts - midt april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/contalgin-uno-30-mg-forsyningsvanskelighed/,2026-03-11T10:14:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ozalin 2 mg/ml oral opløsning, enkeltdosisbeholder",,,,,,,,Start september 2025 - slut juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2025/ozalin-forsyningsvanskelighed/,2026-03-11T09:09:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Vimpat 10 mg/ml syrup (UCB),,,,,,,,Slut januar - start april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/vimpat-10-mgml-syrup-ucb-forsyningsvanskelighed/,2026-03-10T14:57:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Zeldox 80 mg kapsler, hårde",,,,,,,,Slut december 2025 - slut maj 2026,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/zeldox-80-mg-forsyningsvanskelighed/,2026-03-10T13:44:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ziprasidon ""Krka"" 80 mg kapsler, hårde",,,,,,,,Start marts - slut marts 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-krka-80-mg-forsyningsvanskelighed/,2026-03-10T13:35:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ziprasidon ""Stada"" 80 mg kapsler, hårde",,,,,,,,Start marts - slut juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-stada-80-mg-forsyningsvanskelighed/,2026-03-10T13:29:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Pneumovax injektionsvæske, opløsning i fyldt injektionssprøjte",,,,,,,,Midt marts - midt juni 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/pneumovax-forsyningsvanskelighed/,2026-03-09T10:46:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Deprakine Retard 500 mg depottabletter,,,,,,,,Slut februar - start april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/deprakine-retard-500-mg-forsyningsvanskelighed/,2026-03-09T08:53:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Imdur 60 mg depottabletter ,,,,,,,,Start februar - start juli 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/imdur-60-mg-forsyningsvanskelighed/,2026-03-06T15:12:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Fem-Mono Retard 60 mg depottabletter ,,,,,,,,Start september 2025 - start juni 2026,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/fem-mono-retard-60-mg-forsyningsvanskelighed/,2026-03-06T14:32:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Prevymis 240 mg koncentrat til infusionsvæske, opløsning",,,,,,,,Start marts - start juni 2026,shortage,Øget salg/efterspørgsel,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/prevymis-240-mg-koncentrat-til-infusionsvaeske,-oploesning-forsyningsvanskelighed/",2026-03-06T14:24:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Alkindi 0,5 mg granulat i enkeltdosisbeholder",,,,,,,,Start marts - slut marts 2026 ,shortage,Øget salg/efterspørgsel,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/alkindi-0,5-mg-forsyningsvanskelighed/",2026-03-06T12:59:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Sotalol ""Viatris"" 40 mg tabletter",,,,C07AA07,,,,Midt august 2024 - start juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2024/sotalol-viatris-40-mg-forsyningsvanskelighed/,2026-03-13T13:54:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ketaminol Vet. 100 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-100-mgml-forsyningsvanskelighed/,2026-03-13T13:13:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ketaminol Vet. 50 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Kommercielle årsager,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-50-mgml-forsyningsvanskelighed/,2026-03-13T13:11:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Aquavac Relera Vet. koncentrat til badevand, suspension og injektionsvæske, suspension",,,,,,,,Slut september 2025 - slut april 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2025/aquavac-relera-vet-forsyningsvanskelighed/,2026-03-13T12:43:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Rimactan 300 mg kapsler, hårde (2care4 ApS)",,,,,,,,Midt februar 2026 - ukendt,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/rimactan-300-mg-2care4-aps-forsyningsvanskelighed/,2026-03-12T14:06:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Rimactan 300 mg kapsler, hårde (Sandoz A/S)",,,,,,,,Midt februar - slut oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/rimactan-300-mg-sandoz-as-forsyningsvanskelighed/,2026-03-12T14:04:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Diazedor Vet. 5 mg/ml injektionsvæske, opløsning",,,,,,,,Start april - slut juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/diazedor-vet-forsyningsvanskelighed/,2026-03-12T11:53:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Pentasa Sachet 2 g depotgranulat, enkeltdosisbeholder",,,,,,,,Start marts - midt maj 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/pentasa-sachet-2-g-depotgranulat-forsyningsvanskelighed/,2026-03-12T10:36:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Contalgin Uno 30 mg depotkapsler,,,,,,,,Slut marts - midt april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/contalgin-uno-30-mg-forsyningsvanskelighed/,2026-03-11T10:14:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ozalin 2 mg/ml oral opløsning, enkeltdosisbeholder",,,,,,,,Start september 2025 - slut juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2025/ozalin-forsyningsvanskelighed/,2026-03-11T09:09:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Vimpat 10 mg/ml syrup (UCB),,,,,,,,Slut januar - start april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/vimpat-10-mgml-syrup-ucb-forsyningsvanskelighed/,2026-03-10T14:57:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Zeldox 80 mg kapsler, hårde",,,,,,,,Slut december 2025 - slut maj 2026,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/zeldox-80-mg-forsyningsvanskelighed/,2026-03-10T13:44:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ziprasidon ""Krka"" 80 mg kapsler, hårde",,,,,,,,Start marts - slut marts 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-krka-80-mg-forsyningsvanskelighed/,2026-03-10T13:35:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ziprasidon ""Stada"" 80 mg kapsler, hårde",,,,,,,,Start marts - slut juni 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/ziprasidon-stada-80-mg-forsyningsvanskelighed/,2026-03-10T13:29:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Pneumovax injektionsvæske, opløsning i fyldt injektionssprøjte",,,,,,,,Midt marts - midt juni 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/pneumovax-forsyningsvanskelighed/,2026-03-09T10:46:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Deprakine Retard 500 mg depottabletter,,,,,,,,Slut februar - start april 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/deprakine-retard-500-mg-forsyningsvanskelighed/,2026-03-09T08:53:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Imdur 60 mg depottabletter ,,,,,,,,Start februar - start juli 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/imdur-60-mg-forsyningsvanskelighed/,2026-03-06T15:12:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,Fem-Mono Retard 60 mg depottabletter ,,,,,,,,Start september 2025 - start juni 2026,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/fem-mono-retard-60-mg-forsyningsvanskelighed/,2026-03-06T14:32:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Prevymis 240 mg koncentrat til infusionsvæske, opløsning",,,,,,,,Start marts - start juni 2026,shortage,Øget salg/efterspørgsel,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/prevymis-240-mg-koncentrat-til-infusionsvaeske,-oploesning-forsyningsvanskelighed/",2026-03-06T14:24:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Alkindi 0,5 mg granulat i enkeltdosisbeholder",,,,,,,,Start marts - slut marts 2026 ,shortage,Øget salg/efterspørgsel,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/alkindi-0,5-mg-forsyningsvanskelighed/",2026-03-06T12:59:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Sotalol ""Viatris"" 40 mg tabletter",,,,C07AA07,,,,Midt august 2024 - start juli 2026,shortage,Leveringsvanskeligheder,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2024/sotalol-viatris-40-mg-forsyningsvanskelighed/,2026-03-13T13:54:00Z,2026-03-13T22:21:24.714123
DK,Denmark,LMST,"Ketaminol Vet. 100 mg/ml injektionsvæske, opløsning",,,,,,,,Fra midt februar 2026,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/ketaminol-vet-100-mgml-forsyningsvanskelighed/,2026-03-13T13:13:00Z,2026-03-13T22:21:24.714123
