country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,enr,atc_code,shortage_start,estimated_end,status,reason,meldungsart,mah,scraped_at,prk
DE,Germany,BfArM,Dexa-Ophtal,Dexamethasondihydrogenphosphat-Dinatrium (Ph.Eur.),,,2935410,0024816,S01BA01,2026-09-21,2026-12-31,shortage,Produktionsproblem,Erstmeldung,Dr. Gerhard Mann chem.-pharm. Fabrik Gesellschaft mit beschränkter Haftung,2026-09-21T14:49:19.188189,214892
DE,Germany,BfArM,Floxal 3 mg/ml Augentropfen,Ofloxacin,,,3820927,2115583,S01AE01,2026-09-21,2026-10-30,shortage,Produktionsproblem,Erstmeldung,Dr. Gerhard Mann chem.-pharm. Fabrik Gesellschaft mit beschränkter Haftung,2026-09-21T14:49:19.188245,220582
DE,Germany,BfArM,Miochol-E Pulver und Lösungsmittel zur Herstellung einer Instillationslösung zur intraokularen Anwendung,Acetylcholinchlorid,,,1084648,0309602,S01EB09,2026-05-15,2027-01-15,shortage,Produktionsproblem,Änderungsmeldung,Dr. Gerhard Mann chem.-pharm. Fabrik Gesellschaft mit beschränkter Haftung,2026-09-21T14:49:19.188285,23930
DE,Germany,BfArM,Escitalopram-Micro Labs 15 mg Filmtabletten,Escitalopramoxalat,,,11695962,2186906,N06AB10,2026-09-10,2026-10-22,shortage,Sonstige,Erstmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188317,85081
DE,Germany,BfArM,Escitalopram-Micro Labs 20 mg Filmtabletten,Escitalopramoxalat,,,11695979,2186907,N06AB10,2026-07-06,2026-10-09,shortage,Sonstige,Änderungsmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188347,74977
DE,Germany,BfArM,Escitalopram-Micro Labs 20 mg Filmtabletten,Escitalopramoxalat,,,11695991,2186907,N06AB10,2026-07-06,2026-10-09,shortage,Sonstige,Änderungsmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188377,74977
DE,Germany,BfArM,Escitalopram-Micro Labs 10 mg Filmtabletten,Escitalopramoxalat,,,11695904,2186905,N06AB10,2026-07-03,2026-10-22,shortage,Sonstige,Änderungsmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188459,74969
DE,Germany,BfArM,Escitalopram-Micro Labs 10 mg Filmtabletten,Escitalopramoxalat,,,11695910,2186905,N06AB10,2026-07-03,2026-10-22,shortage,Sonstige,Änderungsmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188536,74969
DE,Germany,BfArM,Escitalopram-Micro Labs 10 mg Filmtabletten,Escitalopramoxalat,,,11695927,2186905,N06AB10,2026-07-03,2026-10-22,shortage,Sonstige,Änderungsmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188579,74969
DE,Germany,BfArM,Telmisartan Micro Labs 20 mg Tabletten,Telmisartan,,,13881321,2198054,C09CA07,2026-02-18,2026-10-06,shortage,Sonstige,Änderungsmeldung,Micro Labs GmbH,2026-09-21T14:49:19.188615,57509
