country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,enr,atc_code,shortage_start,estimated_end,status,reason,category,age_group,mah,availability_text,extra_info,scraped_at,prk
DE,Germany,PEI,IXCHIQ,"Chikungunya-Impfstoff (lebend, attenuiert)",,,alle,,,2026-09-21,2026-11-01,shortage,,reise_indikation,ab 12 Jahre,Valneva Austria GmbH Tel: +43 1 20620 2020 E-Mail: commercialDE@valneva.com,Voraussichtlich wieder verfÃ¼gbar ab 01.11.2026,Alternative Impfoptionen: Vimkunya Ixchiq European Public Assessment Report Vimkunya European Public Assessment Report,2026-09-23T20:53:05.916528,
DE,Germany,PEI,IXIARO,"Japanischer Enzephalitis Virus Impfstoff (inaktiviert, adsorbiert)",,,alle,,,2026-08-15,2026-11-30,shortage,,reise_indikation,ab 2 Monaten,Valneva Austria GmbH Tel: +43 1 20620 2020 E-Mail: commercialDE@valneva.com,Voraussichtlich wieder verfÃ¼gbar ab 30.11.2026,Handlungshinweise der STIKO Ixiaro European Public Assessment Report,2026-09-23T20:53:05.916612,
DE,Germany,PEI,Verorab,"Tollwut-Impfstoff (Virusimpfstoff, inaktiviert)",,,alle,,,2026-07-21,2026-10-31,shortage,,reise_indikation,ab der Geburt,Sanofi Winthrop Industrie Tel: 0800 54 54 010 E-Mail: MedInfo.de@Sanofi.com,Voraussichtlich wieder verfÃ¼gbar ab 31.10.2026,Alternative Impfoptionen: Rabipur Verorab ist eingeschrÃ¤nkt verfÃ¼gbar. Rabipur Verorab,2026-09-23T20:53:05.916683,
DE,Germany,PEI,Heplisav B,"Hepatitis B Impfstoff (rekombinant, adjuvantiert)",,,17502651,,,2026-06-11,2026-12-31,shortage,,verknappungen,ab 18 Jahren,Dynavax GmbH Tel: +49 211 75845 0 E-Mail: info@dynavax.com,31.12.2026,"Alternative Impfoptionen: Heplisav B, PZN-18849836 Heplisav B European Public Assessment Report | LieferengpÃ¤sse bestehen fÃ¼r: Heplisav B, PZN-17502651, 2.5 ml, ZNR EU/1/20/1503/001",2026-09-23T20:53:06.043837,
DE,Germany,PEI,"Typhoral L, magensaftresistente Hartkapseln","Typhus Impfstoff, oral, lebend abgeschwÃ¤cht",,,12375076,,,2020-11-11,2022-05-16,resolved,,archive_standard_reise_2020,ab 2 Jahren,Emergent Netherlands B.V. Tel: 0041 31 8885127 E-Mail: regulatory-ch@ebsi.com,16.05.2022,"Alternative Impfoptionen: Typhim Vi 11.11.2020 - 16.05.2022 Typhim Vi in PharmNet.Bund Typhoral L, magensaftresistente Hartkapseln in PharmNet.Bund | Typhoral L, magensaftresistente Hartkapseln, PZN-12375076, 3 StÃ¼ck, ZNR PEI.H.11927.01.1 (1)",2026-09-23T20:53:07.487473,
DE,Germany,PEI,Infanrix-IPV+Hib,"Diphtherie, Pertussis (azellulÃ¤r) Poliomyelitis (inaktiviert) und Haemophilus Typ b KonjugatImpfstoff",,,08627715,,,2021-11-19,2022-08-23,resolved,,archive_grundimmunisierung_2021,ab 2 Monaten,GlaxoSmithKline GmbH & Co. KG Tel: 0800 1223355 E-Mail: service.info@gsk.com,23.08.2022,"Alternative Impfoptionen: Kombination aus Infanrix-IPV und Hib, PZN-08627721 19.11.2021 - 23.08.2022 Infanrix-IPV+Hib in PharmNet.Bund | Kombination aus Infanrix-IPV und Hib, PZN-08627715, 1 Impfdosis, 0.5 ml, ZNR 76a/97 (1)",2026-09-23T20:53:07.620455,
DE,Germany,PEI,Engerix-B Erwachsene,"Hepatitis B Impfstoff (rDNA), virusimpfstoff inaktiviert",,,07504672,,,2022-02-02,2022-03-08,resolved,,archive_grundimmunisierung_2022,ab 16 Jahren,GlaxoSmithKline GmbH & Co. KG Tel: 0800 1223355 E-Mail: service.info@gsk.com,08.03.2022,"Alternative Impfoptionen: Engerix-B Erwachsene, PZN-07504643 02.02.2022 - 08.03.2022 Engerix-B Erwachsene in PharmNet.Bund | Engerix-B Erwachsene, PZN-07504672, 10 ml, ZNR 153a/89 (2)",2026-09-23T20:53:07.895098,
DE,Germany,PEI,Infanrix Hexa,"Diphtherie-, Tetanus-, azellulÃ¤rer Pertussis, rekombinanter Hepatits B (adsorbiert), inaktivierter Poliomyelitis-, und adsorbierter konjugierter Haemophilus influenzae Typ b Impfstoff",,,10538539,,,2022-01-17,2022-02-21,resolved,,archive_grundimmunisierung_2022,ab 2 Monaten,GlaxoSmithKline Biologicals S.A. Tel: 0800 1223355 E-Mail: service.info@gsk.com,21.02.2022,"Alternative Impfoptionen: Infanrix Hexa, PZN-00977060 17.01.2022 - 21.02.2022 Infanrix Hexa, PZN-00977077 17.01.2022 - 21.02.2022 Infanrix hexa European Public Assessment Report | Infanrix Hexa, PZN-10538539, 50 Impfdosis, 25 ml, ZNR EU/1/00/152/021",2026-09-23T20:53:07.895194,
DE,Germany,PEI,Infanrix Hexa,"Diphtherie-, Tetanus-, azellulÃ¤rer Pertussis, rekombinanter Hepatits B (adsorbiert), inaktivierter Poliomyelitis-, und adsorbierter konjugierter Haemophilus influenzae Typ b Impfstoff",,,00977060,,,2022-05-31,2022-08-11,resolved,,archive_grundimmunisierung_2022,ab 2 Monaten,GlaxoSmithKline Biologicals S.A. Tel: 0800 1223355 E-Mail: service.info@gsk.com,11.08.2022,"Alternative Impfoptionen: Infanrix Hexa, PZN-00977077 31.05.2022 - 11.08.2022 Infanrix Hexa, PZN-10538539 31.05.2022 - 11.08.2022 Infanrix hexa European Public Assessment Report | Infanrix Hexa, PZN-00977060, 1 Impfdosis, 0.5 ml, ZNR EU/1/00/152/001",2026-09-23T20:53:07.895276,
DE,Germany,PEI,Infanrix Hexa,"Diphtherie-, Tetanus-, azellulÃ¤rer Pertussis, rekombinanter Hepatits B (adsorbiert), inaktivierter Poliomyelitis-, und adsorbierter konjugierter Haemophilus influenzae Typ b Impfstoff",,,00977060,,,2022-10-25,2023-02-06,resolved,,archive_grundimmunisierung_2022,ab 2 Monaten,GlaxoSmithKline Biologicals S.A. Tel: 0800 1223355 E-Mail: service.info@gsk.com,06.02.2023,"Alternative Impfoptionen: Infanrix Hexa, PZN-00977077 25.10.2022 - 06.02.2023 Infanrix Hexa, PZN-10538539 25.10.2022 - 06.02.2023 Infanrix hexa European Public Assessment Report | Infanrix Hexa, PZN-00977060, 1 Impfdosis, 0.5 ml, ZNR EU/1/00/152/001",2026-09-23T20:53:07.895359,
DE,Germany,PEI,Menjugate 10 Mikrogramm Injektionssuspension,Meningokokken Serogruppe C  CRM 197 Konjugat Impfstoff,,,11116303,,J07AH02,2022-12-29,2023-01-24,resolved,,archive_grundimmunisierung_2022,ab 2 Monaten,GlaxoSmithKline Vaccines S.r.l. Tel: 0800 1223355 E-Mail: service.info@gsk.com,24.01.2023,"Alternative Impfoptionen: Menjugate 10 Mikrogramm Injektionssuspension, PZN-11116289 29.12.2022 - 24.01.2023 Menjugate 10 Mikrogramm Injektionssuspension in PharmNet.Bund | Menjugate 10 Mikrogramm Injektionssuspension, PZN-11116303, 6 ml, ZNR PEI.H.02481.01.3 (3)",2026-09-23T20:53:07.895446,
