country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,pharma_code,act_reference,ium_code,status,scraped_at,atc_code,prk
CO,Colombia,INVIMA,ABACAVIR,ABACAVIR,20mg/mL,,Solución oral,4.1.3.0.N10,Acta No. 04 de 2022 SEM,,vital_unavailable,2026-09-23T20:51:23.577863,J05AF06,136018
CO,Colombia,INVIMA,ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),300mg + 150mg + 300mg,,Tableta,4.1.3.0.N30,Acta No. 04 de 2023 SEM Tercera parte,,vital_unavailable,2026-09-23T20:51:23.577903,,
CO,Colombia,INVIMA,ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),ABACAVIR + LAMIVUDINA + ZIDOVUDINA (AZT),60mg + 30mg + 60mg,,Tableta,4.1.3.0.N30,Acta No. 04 de 2023 SEM Tercera parte,,vital_unavailable,2026-09-23T20:51:23.577928,,
CO,Colombia,INVIMA,ÁCIDO 5-AMINOLEVULÍNICO HCl,ÁCIDO 5-AMINOLEVULÍNICO HCl,30mg/1mL,,Solución oral,19.18.0.0.N120,Acta No. 02 de 2010,1A102496,vital_unavailable,2026-09-23T20:51:23.577951,,
CO,Colombia,INVIMA,ÁCIDO CÓLICO,ÁCIDO CÓLICO,50mg/1U,,Cápsula,8.2.7.0.N180,Acta No. 11 de 2019 SEM,1C100447,vital_unavailable,2026-09-23T20:51:23.577971,A05AA03,
CO,Colombia,INVIMA,ÁCIDO CÓLICO,ÁCIDO CÓLICO,250mg/1U,,Cápsula,8.2.7.0.N180,Acta No. 11 de 2019 SEM,1C100452,vital_unavailable,2026-09-23T20:51:23.577990,A05AA03,
CO,Colombia,INVIMA,ÁCIDO ETILENDIAMINOTETRAACÉTICO EDTA,ÁCIDO ETILENDIAMINOTETRAACÉTICO EDTA,"0,01/1mL",,Solución inyectable,20.0.0.0.N10,Acta No. 03 de 2006,1E102497,vital_unavailable,2026-09-23T20:51:23.578009,V03AB01,
CO,Colombia,INVIMA,ÁCIDO QUENODESOXICÓLICO,ÁCIDO QUENODESOXICÓLICO,250mg/1U,,Cápsula,8.2.7.0.N210,Acta No. 13 de 2019 SEMNNIMB,1Q101465,vital_unavailable,2026-09-23T20:51:23.578028,A05AA01,3182
CO,Colombia,INVIMA,ACIDO TRANSRETINOICO,ACIDO TRANSRETINOICO,10mg/1U,,Cápsula,6.0.0.0.N10,Acta No. 12 de 2019 SEM,1T101438,vital_unavailable,2026-09-23T20:51:23.578047,D10AD01,
CO,Colombia,INVIMA,ACITRETINA,ACITRETINA,10mg,,Cápsula dura,13.1.14.0.N10,Acta No. 01 de 2024 SEM Cuarta parte,,vital_unavailable,2026-09-23T20:51:23.578064,D05BB02,29866
