source_country,source_field,source_value,normalized_category,normalized_label_nl,normalized_label_en,notes,atc_code
BE,reason,Vertraging in de productie,production_delay,Vertraging in productie,Production delay,,
BE,reason,Vertraging in de vrijgave van het eindproduct,release_delay,Vertraging in vrijgave eindproduct,Final product release delay,,
BE,reason,Toegenomen vraag,increased_demand,Toegenomen vraag,Increased demand,,
BE,reason,Werkzaam bestanddeel niet beschikbaar,raw_material,Werkzaam bestanddeel niet beschikbaar,Active ingredient unavailable,,
BE,reason,Hulpstof niet beschikbaar,excipient,Hulpstof niet beschikbaar,Excipient unavailable,,
BE,reason,"Logistieke problemen (transport, douane, ...)",logistics,Logistieke problemen,Logistics problem,,
BE,reason,Terugroeping,recall,Terugroeping,Recall,,
BE,reason,Octrooibetwisting,patent,Octrooibetwisting,Patent dispute,,
BE,reason,"Overmacht (staking, ramp, …)",force_majeure,Overmacht,Force majeure,,
BE,reason,Andere reden,other,Andere reden,Other,,
RO,reason,Motive de fabricatie,production_delay,Productieprobleem,Manufacturing,Variants 'Motiive de fabricatie' / 'Motive de fabricatie.' moeten ook hierheen,
RO,reason,Motive de fabricatie.,production_delay,Productieprobleem,Manufacturing,Typo-variant,
RO,reason,Motiive de fabricatie,production_delay,Productieprobleem,Manufacturing,Typo-variant,
RO,reason,Motive comerciale,commercial,Commerciële reden,Commercial,,
RO,reason,Motive comerciale.,commercial,Commerciële reden,Commercial,Typo-variant,
RO,reason,Motive comerfciale,commercial,Commerciële reden,Commercial,Typo-variant,
JP,shortage_reason,manufacturing_trouble,production_delay,Productieprobleem,Manufacturing trouble,JP code 3,
JP,shortage_reason,quality_trouble,quality,Kwaliteitsprobleem,Quality trouble,JP code 4,
JP,shortage_reason,raw_material_procurement,raw_material,Grondstofproblematiek,Raw material procurement,JP code 2,
JP,shortage_reason,increased_demand,increased_demand,Toegenomen vraag,Increased demand,JP code 1,
JP,shortage_reason,price_delisting,commercial,Commerciële reden (delisting),Price delisting,JP code 6,
JP,shortage_reason,administrative_action,regulatory,Regelgevende actie,Administrative action,JP code 5,
JP,shortage_reason,other,other,Andere reden,Other,JP code 8,
JP,shortage_reason,none,none,Geen reden opgegeven,None given,JP code 7,
US,update_type,Manufacturing Delay,production_delay,Productievertraging,Manufacturing delay,Komt voor in 'related_info' (vrije tekst); regex match nodig,
US,update_type,Discontinuation of the manufacture of the drug,discontinuation,Stopzetting productie,Manufacturing discontinuation,Veel voorkomend in US-data,
US,update_type,Limited Supply Available,limited_supply,Beperkte beschikbaarheid,Limited supply,Vrije tekst in related_info,
US,update_type,A business decision was made to discontinue manufacture of the product,commercial,Commerciële stopzetting,Commercial discontinuation,Vrije tekst,
US,update_type,Shortage per Manufacturer: Manufacturing Delay,production_delay,Productievertraging,Manufacturing delay,Vrije tekst variant,
